CPM_MAIN_SHEET	SER_SIGNAL_CONDITIONS	信号状况(NX_主干编码)
CPM_MAIN_SHEET	SER_USER_REQUIRE	用户要求（话务员点选）现修改为：实际承诺服务补救内容
CPM_MAIN_SHEET	SER_SPECIFIC_PHENOMENON	具体现象
CPM_MAIN_SHEET	SER_OCCURRENCE_TIME	出现时间
CPM_MAIN_SHEET	SER_CHANGE_TEST_COMDITIONS	换机换卡测试情况(NX_主干线序 )
CPM_MAIN_SHEET	SER_CALL_PLACE	主叫位置
CPM_MAIN_SHEET	SER_BUY_PLACE	购买地点(NX_配线架编码  )
CPM_MAIN_SHEET	SER_DISPUTE_BY	争议是由（NX_交接箱编号）
CPM_MAIN_SHEET	SER_ACCESS_CODE	接入代码
CPM_MAIN_SHEET	SER_DEDUCTION_AMOUNT	扣费金额
CPM_MAIN_SHEET	SER_OPEN_TIME	开通时间
CPM_MAIN_SHEET	SER_OPEN_USERCODE	开通工号
CPM_MAIN_SHEET	SER_COST_CONDITIONS	费用情况
CPM_MAIN_SHEET	SER_IS_PARAMETER_RIGHT	参数设置是否正常
CPM_MAIN_SHEET	SER_BUSINESS_NAME	业务名称
CPM_MAIN_SHEET	SER_EXPLAIN_OPERATE	10010多次已向用户解释并指导其判断操作
CPM_MAIN_SHEET	SER_DETAIL_CONTENT	详单内容
CPM_MAIN_SHEET	SER_IS_ROAM	是否漫游(漫游地位置)
CPM_MAIN_SHEET	SER_BUSINESS_OFFICE	营业厅
CPM_MAIN_SHEET	SER_BUSINESS_USERCODE	营业员工号
CPM_MAIN_SHEET	SER_BUSINESS_FEATURE	营业员特征（NX_配线电缆 ）
CPM_MAIN_SHEET	SER_USER_REQUIRE_TEXT	用户要求（手动输入）
CPM_MAIN_SHEET	SER_SPECIFIC_PLACE	具体位置
CPM_MAIN_SHEET	SER_PROBLEM_DESCRIPTION	问题描述
CPM_MAIN_SHEET	SER_OTHER_USER	周围其他用户情况
CPM_MAIN_SHEET	SER_PROBLEM_NUM	问题或故障号码/帐号
CPM_MAIN_SHEET	SER_USER_PACKAGE	用户套餐
CPM_MAIN_SHEET	SER_EXIST_TIME	问题存在的时间
CPM_MAIN_SHEET	SER_NO_USER_PROMPT	无法使用的具体提示
CPM_MAIN_SHEET	SER_SEND_TIME	发送时间
CPM_MAIN_SHEET	SER_SEND_NO	发送号码
CPM_MAIN_SHEET	SER_IS_SEND_TO_UNICOM	给联通号码发短信是否异常
CPM_MAIN_SHEET	SER_IS_LARGE_SEND_SMS	近期是否大量发送短信
CPM_MAIN_SHEET	SER_IS_SEND_RUBBISH_SMS	近期是否发送过可能会被认为垃圾短信的短信
CPM_MAIN_SHEET	IS_COLOR	是否需加背景色
CPM_MAIN_SHEET	SER_OTHER_NO	对方号码
CPM_MAIN_SHEET	SER_HAPPEN_RATE	出现频次
CPM_MAIN_SHEET	SER_ROAM_ADDRESS	具体漫游位置
CPM_MAIN_SHEET	SER_RELATED_CHANNEL	涉及渠道（NX_配线线序 ）
CPM_MAIN_SHEET	SER_BUSINESS_FEE	业务资费
CPM_MAIN_SHEET	SER_YX_CHANNEL	营销渠道（号码）
CPM_MAIN_SHEET	SER_KOU_FEE_TIME	扣费时间
CPM_MAIN_SHEET	SER_OPERATE_CHANNEL	操作渠道
CPM_MAIN_SHEET	SER_CHANGE_TIME	变更时间，服务授权：恢复时间
CPM_MAIN_SHEET	SER_BUSINESS_NO	业务代码（NX_分线盒编码 ）
CPM_MAIN_SHEET	SER_PAY_WAY	支付方式
CPM_MAIN_SHEET	SER_PAY_TIME	支付时间
CPM_MAIN_SHEET	SER_PAY_AMOUNT	支付金额
CPM_MAIN_SHEET	SER_FEE_WAY	缴费方式
CPM_MAIN_SHEET	SER_FEE_TIME	缴费时间
CPM_MAIN_SHEET	SER_FEE_AMOUNT	缴费金额
CPM_MAIN_SHEET	SER_IS_ORDER	是否已订购
CPM_MAIN_SHEET	SER_LEAD_PERFORMANCE	诱导变现及相关记录（NX_分线盒线序 ）
CPM_MAIN_SHEET	SER_SIM_NO	SIM卡号
CPM_MAIN_SHEET	SER_BROAD_BAND	宽带产品
CPM_MAIN_SHEET	SER_IS_BROAD_BAND	10010已通过联通新宽带认证系统操作（NX_共线号码 ）
CPM_MAIN_SHEET	SER_USER_ADDRESS	用户详细地址
CPM_MAIN_SHEET	SER_USER_NO	用户帐号
CPM_MAIN_SHEET	SER_ORG_PACKAGE	原套餐名称
CPM_MAIN_SHEET	SER_CHANGE_PACKAGE	变更套餐名称
CPM_MAIN_SHEET	DEAL_TIME_FLAG	generalCode表中的codeType=SHEET_FLAG
CPM_MAIN_SHEET	IS_AUTO_VISIT	0=否 1=是,没有派送 2=是，已派送
CPM_MAIN_SHEET	TYPE_ROOT_ID	工单类型一级节点ID
CPM_MAIN_SHEET	HIE_IS_REQUEST_REFUND	是否要求退费
CPM_MAIN_SHEET	HIE_IS_REQUEST_PAY	是否要求赔偿
CPM_MAIN_SHEET	HIE_IS_WRITTEN_APOLOGY	是否要求书面道歉
CPM_MAIN_SHEET	HIE_IS_REQUEST_TIME_LIMIT	是否要求限时答复
CPM_MAIN_SHEET	HIE_IS_MEDIA_EXPOSURE	是否有媒体曝光倾向
CPM_MAIN_SHEET	HOT_SPOT_PROBLEM	热点问题
CPM_MAIN_SHEET	DEAL_USER_CODE	省投派送人工号（用于一站式处理）
CPM_MAIN_SHEET	CUR_CLOSE_TIME	最后销户时间
CPM_MAIN_SHEET	CUR_BELONG_BANK	所属银行
CPM_MAIN_SHEET	CUR_BANK_NUMBER	银行账号
CPM_MAIN_SHEET	IS_ABANDON	工单是否废弃
CPM_MAIN_SHEET	IS_AUTO_SEND	是否自动派单
CPM_MAIN_SHEET	COMBINE_SHEET_CODE	合并工单流水号
CPM_MAIN_SHEET	DUTY_SIDE	责任方-常用编码
CPM_MAIN_SHEET	DUTY_REASON_DESC	责任原因描述-常用编码
CPM_MAIN_SHEET	ORIGINAL_SHEET_ID	原始工单ID
CPM_MAIN_SHEET	IS_REPAIR	故障单是否修复1已修复0未修复
CPM_MAIN_SHEET	USER_REASON	故障单是否客户原因超时1是0否
CPM_MAIN_SHEET	IS_H1	是否迁移到h1
CPM_MAIN_SHEET	IS_PROBLEM_SHEET	是否为问题工单
CPM_MAIN_SHEET	IS_CONTACT_CUSTOMER	分公司是否联系用户
CPM_MAIN_SHEET	IS_CUSTOMER_SATISFACTION	用户回访是否满意
CPM_MAIN_SHEET	DEAL_RESULT	分公司处理结果
CPM_MAIN_SHEET	SER_IS_BLACKLIST	是否是黑名单
CPM_MAIN_SHEET	ANSWER_READY	工单办结前是否回复 0未回复 1已回复
CPM_MAIN_SHEET	IS_TAP_MANAGE	是否阀门值生成了管理督办单，0否1是
CPM_MAIN_SHEET	SHEET_LEVEL	工单等级标志，0为默认无等级，1客服经理，2分管客服副总，3一把手
CPM_MAIN_SHEET	EXAM_TIME_LIMIT	考核时限 对照tbl_general_codes的CODE_TYPE为CPM_MAIN_DAY_LIMIT
CPM_MAIN_SHEET	IS_DONEPROBLEM	问题是否已解决 对照tbl_general_codes的CODE_TYPE为CPM_IS_DONE_PROBLEM
CPM_MAIN_SHEET	IS_DONE_SHEET	工单是否解决，0未解决1已解决
CPM_MAIN_SHEET	SHEET_RESALE_STATUS	转售工单状态
CPM_MAIN_SHEET	SHEET_BUSINESS_PROVINCE	转售工单归属省
CPM_MAIN_SHEET	SHEET_BUSINESS_CITY	转售工单归属市
CPM_MAIN_SHEET	SHEET_PROBLEM_PROVINCE	转售工单问题发生归属省
CPM_MAIN_SHEET	SHEET_PROBLEM_CITY	转售工单问题发生归属市
CPM_MAIN_SHEET	SHEET_CALLFAIL	转售工单无法主叫
CPM_MAIN_SHEET	SHEET_DEAL_CHECK	转售工单核查处理情况
CPM_MAIN_SHEET	SHEET_DEAL_COOPER	转售工单协查处理需求
CPM_MAIN_SHEET	SHEET_COMPANY_NAME	转售企业联系人
CPM_MAIN_SHEET	SHEET_COMPANY_TETL	转售企业联系人联系电话
CPM_MAIN_SHEET	SHEET_INCRE_TYPE	转售工单增值业务类型
CPM_MAIN_SHEET	SHEET_INCRE_REMASKTYPE	转售工单增值业务业务描述业务类型
CPM_MAIN_SHEET	SHEET_INCRE_NETNODE	转售工单增值业务业务描述网络接入点
CPM_MAIN_SHEET	SHEET_INCRE_WOOW	转售工单增值业务业务描述沃音乐门户
CPM_MAIN_SHEET	SHEET_INCRE_TETLSYS	转售工单增值业务业务手机操作系统
CPM_MAIN_SHEET	SHEET_BILLIN_TYPE	转售工单计费话单类型
CPM_MAIN_SHEET	SHEET_BILLIN_FILE	转售工单计费话单文件名
CPM_MAIN_SHEET	SHEET_BILLIN_FILECODE	转售工单计费话单编号
CPM_MAIN_SHEET	SHEET_SERVICE_API	转售工单服务开通API类型
CPM_MAIN_SHEET	SHEET_SERVICE_NUMBER	转售工单服务开通swift_number
CPM_MAIN_SHEET	SHEET_SERVICE_ORDER	转售工单服务开通order_id
CPM_MAIN_SHEET	SHEET_SRC	转售工单来源
CPM_MAIN_SHEET	SHEET_RE_REMAKES	转售工单重复派单说明
CPM_MAIN_SHEET	SHEET_USERLINKMAN	转售工单客户联系人
CPM_MAIN_SHEET	SHEET_USERLINKTETL	客户联系电话
CPM_MAIN_SHEET	SHEET_DEAL_NODE	转售工单处理节点
CPM_MAIN_SHEET	SHEET_DEAL_NUMBER	转售工单处理人工号
CPM_MAIN_SHEET	SHEET_DEAL_TIMEOUT	转售工单当前处理时长
CPM_MAIN_SHEET	IS_TURN_DEAL	是否转全业务集中处理，0否1是
CPM_MAIN_SHEET	SAME_PROBLEM_TS_COUNT	同一问题投诉数量
CPM_MAIN_SHEET	PROJECT_NAME	项目名称
CPM_MAIN_SHEET	SHEET_COUNTIES	县区
CPM_MAIN_SHEET	PRODUCT_DEMAND	产品需求
CPM_MAIN_SHEET	PROBLEM_SOLVE_RESULT	问题解决结论
CPM_MAIN_SHEET	CUSTOMER_SATISFIED_LEVEL	客户满意度
CPM_MAIN_SHEET	PROFESSIONAL_TAG	八大专业线标签
CPM_MAIN_SHEET	COMMUNICATION_ADDRESS	通信质量问题位置信息
CPM_MAIN_SHEET	SYSTEM_LOCATION	信息化支撑系统定位
CPM_MAIN_SHEET	UPGRADE_MODE	升级方式
CPM_MAIN_SHEET	GENERATION_TYPE	生成方式
CPM_MAIN_SHEET	NO_REPAIR_REASON	故障单未修复原因general_code表中的code_type=NO_REPAIR_REASON
CPM_MAIN_SHEET	SP_CODE_INFO	sp编码信息
CPM_MAIN_SHEET	TS_CUSTOMER_TYPE	定位时投诉客户类别
CPM_MAIN_SHEET	TS_ACCEPT_CHANNEL	定位时投诉受理渠道
CPM_MAIN_SHEET	PROVINCE_ID	工单所属省份
CPM_ANNEX	ANNEX_ID	附件ID
CPM_ANNEX	SHEET_ID	工单ID
CPM_ANNEX	ANNEX_NAME	附件名
CPM_ANNEX	ANNEX_SIZE	附件大小
CPM_ANNEX	CREATE_TIME	附件添加时间
CPM_ANNEX	USER_CODE	附件添加人
CPM_ANNEX	ANNEX_TYPE	generalCode表中code_type=SHEET3_ANNEX_TYPE
CPM_ANNEX	PATH	路径
CPM_ANNEX	ORIGINAL_ANNEX_NAME	原始文件名
CPM_ANNEX	ADD_DEPARTMENT_ID	上传部门
CPM_AUTO_VOICE_VISIT	VISIT_ID	回访编号
CPM_AUTO_VOICE_VISIT	SHEET_ID	工单号
CPM_AUTO_VOICE_VISIT	TEL_NO	回访电话
CPM_AUTO_VOICE_VISIT	CONTENT	回访内容
CPM_AUTO_VOICE_VISIT	RESULT	回访结果 1.满意 2.不满意
CPM_AUTO_VOICE_VISIT	CALL_TIME	回访时间
CPM_AUTO_VOICE_VISIT	CREATE_TIME	创建时间
CPM_AUTO_VOICE_VISIT	CREATOR	创建人
CPM_AUTO_VOICE_VISIT	IVR_CALL_RESULT	IVR读取状态 0：准备外呼   1：外呼成功
CPM_AUTO_VOICE_VISIT	IVR_CALL_COUNT	IVR读取次数
CPM_AUTO_VOICE_VISIT	MOBILE_NO	业务号码
CPM_AUTO_VOICE_VISIT	CALLER	主叫号码
CPM_AUTO_VOICE_VISIT	NO_AREA	号码归属地
CPM_AUTO_VOICE_VISIT	CUSTOMER_NAME	客户姓名
CPM_AUTO_VOICE_VISIT	MOBILE_STATUS	手机状态
CPM_AUTO_VOICE_VISIT	CUSTOM_LEVEL	客户级别
CPM_AUTO_VOICE_VISIT	CUSTOM_BRAND	客户品牌
CPM_AUTO_VOICE_VISIT	ACTUAL_CALL_TIME	实际外呼时间
CPM_AUTO_VOICE_VISIT	SET_CALL_TIME	设置回访时间
CPM_AUTO_VOICE_VISIT	SHOW_NO	IVR外呼显示号码
CPM_BMY_JOB	SHEET_ID	工单ID
CPM_BMY_JOB	CREATE_TIME	创建时间
CPM_BMY_JOB	IS_USE	是否被调用 0否:1是
CPM_BUSINESS_STANDARD_TEMPLATE	ROW_ID	行ID
CPM_BUSINESS_STANDARD_TEMPLATE	PRODUCT_TYPE_ID	产品类别ID
CPM_BUSINESS_STANDARD_TEMPLATE	PROBLEM_TYPE_ID	问题类型ID
CPM_BUSINESS_STANDARD_TEMPLATE	NORMAL_COMPLAIN_TIME	一般投诉
CPM_BUSINESS_STANDARD_TEMPLATE	LITTLE_URGENCY_COMPLAIN_TIME	平急投诉
CPM_BUSINESS_STANDARD_TEMPLATE	MUCH_URGENCY_COMPLAIN_TIME	紧急投诉
CPM_BUSINESS_STANDARD_TEMPLATE	SEND_SHEET_DEPARTMENT	派单部门
CPM_BUSINESS_STANDARD_TEMPLATE	TIMELY_REPLAY_TEMPLATE	及时答复模板
CPM_BUSINESS_STANDARD_TEMPLATE	SEND_SHEET_TEMPLATE	派单模板
CPM_BUSINESS_STANDARD_TEMPLATE	RETURN_SHEET_TEMPLATE	回单模板
CPM_BUSINESS_STANDARD_TEMPLATE	WRITE_SHEET_TEMPLATE	录单模板
CPM_BUSINESS_STANDARD_TEMPLATE	TIMELY_PROMISE_TEMPLATE	一线即时承诺口径
CPM_BUSINESS_STANDARD_TEMPLATE	BUSINESS_DEPARTMENT	业务主管部门
CPM_BUSINESS_STANDARD_TEMPLATE	PROCESSING_DEPARTMENT	后续处理部门
CPM_BUSINESS_STANDARD_TEMPLATE	ONE_PROCESSING_DEPARTMENT	一级升级处理部门
CPM_BUSINESS_STANDARD_TEMPLATE	TWO_PROCESSING_DEPARTMENT	二级升级处理部门
CPM_CASE_APPLICATION	SHEET_ID	工单ID
CPM_CASE_APPLICATION	SHEET_TYPE	工单类型
CPM_CASE_APPLICATION	AREA_ID	所属地域
CPM_CASE_APPLICATION	DEPART_ID	申请部门
CPM_CASE_APPLICATION	USER_CODE	申请人
CPM_CASE_APPLICATION	APPLY_TIME	申请时间
CPM_CASE_APPLICATION	APPLY_REASON	申请原因
CPM_CASE_APPLICATION	AUDIT_PERSON	审批人
CPM_CASE_APPLICATION	AUDIT_DEPARTMENT	审批部门
CPM_CASE_APPLICATION	AUDIT_TIME	审批时间
CPM_CASE_APPLICATION	AUDIT_ADVICE	审批意见
CPM_CASE_APPLICATION	CASE_STATE	案例单状态有：待审批；审批通过生成案例单；被退回；
CPM_CASE_APPLICATION	ONCE_DEAL_PERSON	曾经处理人
CPM_CASE_APPLICATION	SHEET_CODE	工单流水号
CPM_CASE_QUERY	CASE_ID	案例编号
CPM_CASE_QUERY	CASE_NAME	案例名称
CPM_CASE_QUERY	CASE_TYPE	案例类别
